"Class Name - Live Allocated Objects";"Live Bytes";"Live Objects";"Allocated Objects";"Avg. Age";"Generations"
"de.unibi.cebitec.bibiserv.search.ProfilingMode";"24";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_IBM424_he_rtl";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_IBM424_he_ltr";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_IBM420_ar_rtl";"16";"1";"1";"17.00";"1"
"java.util.LinkedHashSet";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_IBM420_ar_ltr";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_nl";"16";"1";"1";"17.00";"1"
"org.ccil.cowan.tagsoup.AttributesImpl";"16";"1";"1";"17.00";"1"
"java.util.IdentityHashMap$KeySet";"16";"1";"1";"0.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_it";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_fr";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_es";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_en";"16";"1";"1";"17.00";"1"
"java.util.HashMap$Values";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_de";"16";"1";"1";"17.00";"1"
"com.sun.org.apache.xerces.internal.util.PropertyState";"16";"1";"2";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_9_tr";"16";"1";"1";"17.00";"1"
"com.sun.org.apache.xerces.internal.util.FeatureState";"16";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_8_he";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_pt";"16";"1";"1";"17.00";"1"
"java.util.regex.Pattern$Start";"16";"1";"24245";"18.00";"1"
"java.util.regex.Pattern$SliceI";"16";"1";"1";"18.00";"1"
"java.util.regex.Pattern$Single";"16";"1";"1";"18.00";"1"
"java.lang.reflect.Constructor[]";"16";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_no";"16";"1";"1";"17.00";"1"
"java.util.regex.Pattern$GroupHead";"16";"1";"1";"18.00";"1"
"java.util.regex.Pattern$Dot";"16";"1";"1";"17.00";"1"
"java.util.regex.Pattern$Dollar";"16";"1";"1";"18.00";"1"
"java.lang.ThreadLocal";"16";"1";"1";"18.00";"1"
"java.util.regex.Pattern$Ctype";"16";"1";"22967";"18.00";"1"
"java.util.regex.Pattern$CharProperty$1";"16";"1";"1";"18.00";"1"
"java.util.regex.Pattern$BranchConn";"16";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_nl";"16";"1";"1";"17.00";"1"
"sun.net.ProgressMonitor";"16";"1";"1";"18.00";"1"
"java.util.regex.Pattern$BitClass";"16";"1";"1";"18.00";"1"
"java.util.regex.Pattern$All";"16";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_it";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_fr";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_es";"16";"1";"1";"17.00";"1"
"java.util.jar.Manifest";"16";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_en";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_de";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_da";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_windows_1256";"16";"1";"1";"17.00";"1"
"java.util.jar.Attributes$Name";"16";"1";"1";"18.00";"1"
"java.util.jar.Attributes";"16";"1";"1";"18.00";"1"
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock";"16";"1";"1";"18.00";"1"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter";"16";"1";"1";"18.00";"1"
"java.io.FilePermissionCollection";"16";"1";"1";"18.00";"1"
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock";"16";"1";"1";"18.00";"1"
"org.apache.tika.sax.xpath.ChildMatcher";"16";"1";"1";"17.00";"1"
"org.apache.tika.sax.xpath.CompositeMatcher";"16";"1";"1";"17.00";"1"
"java.util.concurrent.atomic.AtomicLong";"16";"1";"1";"17.00";"1"
"org.apache.tika.sax.xpath.SubtreeMatcher";"16";"1";"1";"17.00";"1"
"de.unibi.cebitec.bibiserv.search.util.Index";"16";"1";"1";"18.00";"1"
"java.util.TreeMap$EntrySet";"16";"1";"1";"18.00";"1"
"de.unibi.cebitec.bibiserv.search.suffixtree.CharacterTypes";"16";"1";"1";"16.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_2022$CharsetRecog_2022KR";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_2022$CharsetRecog_2022JP";"16";"1";"1";"17.00";"1"
"de.unibi.cebitec.bibiserv.search.index.DocumentID";"16";"1";"1";"16.00";"1"
"de.unibi.cebitec.bibiserv.search.index.BiBiServDocument";"16";"1";"1";"16.00";"1"
"de.unibi.cebitec.bibiserv.search.TestMode";"16";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_2022$CharsetRecog_2022CN";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_windows_1251";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_KOI8_R";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_IBM866_ru";"16";"1";"1";"17.00";"1"
"org.apache.tika.sax.xpath.XPathParser";"16";"1";"1";"17.00";"1"
"org.xml.sax.helpers.AttributesImpl";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_8_I_he";"16";"1";"1";"17.00";"1"
